Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Rotherham CCG,30/06/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,3833254,"103,706.00",
Department of Health,NHS Rotherham CCG,30/06/2014,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,3925163,"27,916.67",594959072
Department of Health,NHS Rotherham CCG,30/06/2014,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,4047838,"34,252.22",594959072
Department of Health,NHS Rotherham CCG,30/06/2014,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,3925164,"289,274.91",594959072
Department of Health,NHS Rotherham CCG,30/06/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,3812199,"867,245.00",
Department of Health,NHS Rotherham CCG,30/06/2014,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,4075383,"-28,835.13",
Department of Health,NHS Rotherham CCG,30/06/2014,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,4075384,"60,264.30",
Department of Health,NHS Rotherham CCG,30/06/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,3822441,"36,342.00",
Department of Health,NHS Rotherham CCG,30/06/2014,Charges from CSU,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,NHS WEST AND SOUTH YORKSHIRE AND BASSETLAW CSU,3999592,"54,237.75",
Department of Health,NHS Rotherham CCG,30/06/2014,Charges from CSU,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,NHS WEST AND SOUTH YORKSHIRE AND BASSETLAW CSU,3999580,"108,475.50",
Department of Health,NHS Rotherham CCG,30/06/2014,Charges from CSU,ADMINISTRATION & BUSINESS SUPPORT,NHS WEST AND SOUTH YORKSHIRE AND BASSETLAW CSU,3833391,"152,326.25",
Department of Health,NHS Rotherham CCG,30/06/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,3908234,"254,549.00",
Department of Health,NHS Rotherham CCG,30/06/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,3908231,"2,198,415.00",
Department of Health,NHS Rotherham CCG,30/06/2014,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,3889522,"79,104.64",
Department of Health,NHS Rotherham CCG,30/06/2014,Clinical&Medical-Clinical Other,WHEELCHAIR SERVICE,ROTHERHAM NHS FOUNDATION TRUST,3970788,"34,617.24",
Department of Health,NHS Rotherham CCG,30/06/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ROTHERHAM NHS FOUNDATION TRUST,4030098,"146,297.67",
Department of Health,NHS Rotherham CCG,30/06/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ROTHERHAM NHS FOUNDATION TRUST,4030094,"451,667.00",
