Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Department of Health,NHS Stockport CCG,30/04/2015,C&M-GMS IT Comm Servs -GP Practices,PRIMARY CARE IT,NHS GREATER MANCHESTER CSU,7424669,-128588,-
Department of Health,NHS Stockport CCG,30/04/2015,C&M-PMS IT Comm Servs -GP Practices,PRIMARY CARE IT,NHS GREATER MANCHESTER CSU,7424669,-139160,-
Department of Health,NHS Stockport CCG,30/04/2015,Clinical&Medical-Independent Sector,OUT OF HOURS,MASTERCALL HEALTHCARE,7425121,-77111,-
Department of Health,NHS Stockport CCG,30/04/2015,External Consultancy Fees,STRATEGY & DEVELOPMENT,BDO LLP,7431413,55298.16,830847032
Department of Health,NHS Stockport CCG,30/04/2015,Clinical&Medical-Independent Sector,OUT OF HOURS,MASTERCALL HEALTHCARE,7442300,251842,-
Department of Health,NHS Stockport CCG,30/04/2015,Clinical&Medical-Commercial Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,SELF HELP SERVICES,7442375,25009.41,-
Department of Health,NHS Stockport CCG,30/04/2015,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,STANDWALK,7442409,57921.3,-
Department of Health,NHS Stockport CCG,30/04/2015,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,PENNINE ACUTE HOSPITALS NHS TRUST,7442435,-39550,-
Department of Health,NHS Stockport CCG,30/04/2015,Services From Local Authorities,Winter Resilience,STOCKPORT METROPOLITAN BOROUGH COUNCIL,7442476,85000,-
Department of Health,NHS Stockport CCG,30/04/2015,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,STOCKPORT METROPOLITAN BOROUGH COUNCIL,7442687,49640.24,-
Department of Health,NHS Stockport CCG,30/04/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,7442864,11706547,-
Department of Health,NHS Stockport CCG,30/04/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,7442869,1640267,-
Department of Health,NHS Stockport CCG,30/04/2015,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,STOCKPORT METROPOLITAN BOROUGH COUNCIL,7442962,30112.94,-
Department of Health,NHS Stockport CCG,30/04/2015,Clinical&Medical-Othe Public Sector,CHC ADULT FULLY FUNDED,STOCKPORT METROPOLITAN BOROUGH COUNCIL,7443033,26340,-
Department of Health,NHS Stockport CCG,30/04/2015,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,ARTS FOR RECOVERY IN THE COMMUNITY,7501538,29795,-
