Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Stockport CCG,30/11/2013,Charges from CSU,BUSINESS INFORMATICS,NHS GREATER MANCHESTER CSU,1643018,19710.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Charges from CSU,COMMUNICATIONS & PR,NHS GREATER MANCHESTER CSU,1643018,3844.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Charges from CSU,CONTRACT MANAGEMENT,NHS GREATER MANCHESTER CSU,1643018,63940.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Charges from CSU,FINANCE,NHS GREATER MANCHESTER CSU,1643018,2574.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Charges from CSU,HUMAN RESOURCES,NHS GREATER MANCHESTER CSU,1643018,6612.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Charges from CSU,IM&T,NHS GREATER MANCHESTER CSU,1643018,68596.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS GREATER MANCHESTER CSU,1643018,5440.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST CHESHIRE NHS TRUST,1674149,159252.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,WRIGHTINGTON WIGAN & LEIGH NHS FOUNDATION TRUST,1674673,34153.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Clinical&Medical-Independent Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,SELF HELP SERVICES,1674726,27084.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PENNINE ACUTE HOSPITALS NHS TRUST,1674760,51418.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Clinical&Medical-Othe Public Sector,FUNDED NURSING CARE,STOCKPORT METROPOLITAN BOROUGH COUNCIL,1674781,82795.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Clinical&Medical-Othe Public Sector,CHC ADULT FULLY FUNDED,STOCKPORT METROPOLITAN BOROUGH COUNCIL,1674796,25880.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,1702572,-67609.21,-
Department of Health,NHS Stockport CCG,30/11/2013,Clinical&Medical-Commercial Sector,MENTAL HEALTH CONTRACTS,FUTURE DIRECTIONS CIC,1702610,68796.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Services From Local Authorities,NURSING DIRECTORATE,STOCKPORT METROPOLITAN BOROUGH COUNCIL,1702666,32000.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,1703312,111696.73,-
Department of Health,NHS Stockport CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1703522,1438720.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Hlthcre-Foundation Trsts,NCAS/OATS,SALFORD ROYAL NHS FOUNDATION TRUST,1703582,271832.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,1703602,188583.16,-
Department of Health,NHS Stockport CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,1703630,1843317.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,1703636,47692.76,-
Department of Health,NHS Stockport CCG,30/11/2013,Clinical&Medical-Othe Public Sector,NCAS/OATS,BETSI CADWALADR UNIVERSITY LHB,1780124,113816.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE COLLECTIONS,1830688,-105013.86,-
Department of Health,NHS Stockport CCG,30/11/2013,Clinical&Medical-Commercial Sector,PLANNED CARE,ULTRASOUND NOW,1840974,37048.44,-
Department of Health,NHS Stockport CCG,30/11/2013,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE COLLECTIONS,1841010,252700.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Clinical&Medical-Commercial Sector,MENTAL HEALTH CONTRACTS,FUTURE DIRECTIONS CIC,1841026,68796.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,MASTERCALL HEALTHCARE,1841030,49696.33,-
Department of Health,NHS Stockport CCG,30/11/2013,Clinical&Medical-Independent Sector,WINTER PRESSURES,MASTERCALL HEALTHCARE,1841092,29244.42,-
Department of Health,NHS Stockport CCG,30/11/2013,Clinical&Medical-Commercial Sector,PLANNED CARE,SOUTH MANCHESTER PRIVATE CLINIC,1841195,31370.90,-
Department of Health,NHS Stockport CCG,30/11/2013,Clinical&Medical-Commercial Sector,PLANNED CARE,BMI HEALTHCARE COLLECTIONS,1841238,229526.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,1843089,1918361.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,1843091,11217107.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,COLLABORATIVE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,1843092,26583.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-CQUIN,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,1843093,1631198.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,COLLABORATIVE COMMISSIONING,NORTH WEST AMBULANCE SERVICE NHS TRUST,1843094,602422.00,-
Department of Health,NHS Stockport CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,COLLABORATIVE COMMISSIONING,NORTH WEST AMBULANCE SERVICE NHS TRUST,1843096,34611.00,-
