Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,31/07/2016,Seconded-Basic Sal-Staff fm oth org,CEO/ BOARD OFFICE,NHS ENGLAND,7000020139,"£28,830.30",SALARY RECHARGE MARCH - MAY 2016,
Department of Health,03F,31/07/2016,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1010039507,"£30,682.72",NCA MAY FLEX 2016,
Department of Health,03F,31/07/2016,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS NORTH OF ENGLAND CSU,7310005861,"£39,937.00",MEDICINE OPTIMISATION & IFR SERVICE JUNE 2016,
Department of Health,03F,31/07/2016,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS NORTH OF ENGLAND CSU,7310006024,"£39,937.00",MEDICINE OPTIMISATION & IFR JULY 2016,
Department of Health,03F,31/07/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010008228,"£2,784,701.54",JULY BLOCK CONTRACT MENTAL HEALTH/THERAPY SERVICES,
Department of Health,03F,31/07/2016,Hlthcre-Foundation Trsts,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010008252,"£67,875.00",UNDERSTANDING FOR THE CHILDRENS & YOUNG PEOPLES IAPT SERVICE JUNE 2016,
Department of Health,03F,31/07/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410047623,"£53,062.17",BLOCK CONTRACT ,
Department of Health,03F,31/07/2016,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810014982,"£801,432.00",A & E CONTRACT JULY 2016,
Department of Health,03F,31/07/2016,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810015002,"£30,484.00",HART INCOME JULY 2016,
Department of Health,03F,31/07/2016,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810015053,"£55,103.00",NHS 111 CONTRACT JULY 2016,
Department of Health,03F,31/07/2016,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810015082,"£115,962.00",PTS CONTRACT JULY 2016,
Department of Health,03F,31/07/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,H0001265,"£14,383,333.00",BLOCK CONTRACT JULY 2016,
Department of Health,03F,31/07/2016,Clinical&Medical-Independent Sector,PATIENT TRANSPORT,SRCL LTD,998719,"£29,501.41",NON PTS SERVICE & PATHOLOGY FEE JUNE 2016,
Department of Health,03F,31/07/2016,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,HOME-START (HULL),220162018,"£27,191.00",HOME START FAMILY SUPPORT SERVICE QUARTER 1,
