Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,31/08/2016,Other professional fees,NON RECURRENT PROGRAMMES,ATTAIN COMMISSIONING SERVICES LTD,2101,"£62,446.61",HUMBER COAST & VALE STP JUNE 2016  EXPS,
Department of Health,03F,31/08/2016,Charges from CSU,FINANCE,NHS NORTH OF ENGLAND CSU,7310006177,"£43,506.00",RAIDR SYSTEM APRIL - JULY 2016,
Department of Health,03F,31/08/2016,Charges from CSU,FINANCE,NHS NORTH OF ENGLAND CSU,7310006272,"-£43,506.00",CREDIT RE INVOICE 7310006177,
Department of Health,03F,31/08/2016,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010008497,"£2,784,701.54","AUGUST BLOCK THERAPY SERVICE , MENTAL HEALTH",
Department of Health,03F,31/08/2016,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1010040227,"£28,507.41",NCA JUNE 2016 FLEX,
Department of Health,03F,31/08/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410049588,"£53,062.17",BLOCK CONTRACT MONTH 5 2016/17,
Department of Health,03F,31/08/2016,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810015409,"£824,459.00",HART FUNDING AUGUST 2016,
Department of Health,03F,31/08/2016,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810015465,"£60,064.00",NHS 111 AUGUST 2016,
Department of Health,03F,31/08/2016,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810015505,"£117,810.00",PTS ECR CHARGE BLOCK AUGUST 2016,
Department of Health,03F,31/08/2016,Hcare Srv Rec NHS Trust-CQUIN,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,H0001840,"£14,383,333.00",BLOCK CONTRACT AUGUST 2016,
Department of Health,03F,31/08/2016,Clinical&Medical-Independent Sector,PATIENT TRANSPORT,SRCL LTD,1005180,"£29,501.30",NON PTS SERVICE & PATHOLOGY FEE JULY 2016,
Department of Health,03F,31/08/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULCQ1516M1M12,"£68,455.44",CQUIN RECONCILIATION APRIL 2015 - MARCH 2016,
Department of Health,03F,31/08/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULPF161705,"£654,604.00",ESTIMATED AUGUST 2016,
Department of Health,03F,31/08/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULREC161702,"£254,854.21",SAC ACTIVITIES MAY 2016,
Department of Health,03F,31/08/2016,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000228551,"£49,300.00",HULL INITATIVE CONTRIBUTION,
Department of Health,03F,31/08/2016,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000231818,"£350,036.92",CONTINUING HEALTH RECHARGES FOR JUNE 2016,
Department of Health,03F,31/08/2016,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000233012,"£407,940.22",CHC RECHARGES JULY 2016,
Department of Health,03F,31/08/2016,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000234242,"£133,947.61",FNC RECHARGES 18/07/16 - 14/08/16,
Department of Health,03F,31/08/2016,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000234267,"£110,137.77",CARE IN THE COMMUNITY RECHARGE AUGUST 2016,
Department of Health,03F,31/08/2016,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000234587,"£356,545.23",CHC RECHARGES AUGUST 2016,
Department of Health,03F,31/08/2016,NHS Recbles<1Yr CHC Risk Pool Con,BALANCE SHEET,MARTIN SEARLE SOLICITORS,103149-28-JUL-2016,"£161,848.71",REIMBURSMENT OF CARE FEES,
Department of Health,03F,31/08/2016,Other professional fees,NON RECURRENT PROGRAMMES,PRICEWATERHOUSECOOPERS LLP,1354589142,"£50,151.26",HCV STP ENGAGEMENT LEADERSHIP ,
Department of Health,03F,31/08/2016,Other professional fees,NON RECURRENT PROGRAMMES,PRICEWATERHOUSECOOPERS LLP,1354598828,"£50,151.26",HCV STP ANALYSIS,
Department of Health,03F,31/08/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB LTD,1800094111,"£302,928.19",EQUIPMENT PURCHASES & ACTIVITY 02/07/16 - 29/07/16,
Department of Health,03F,31/08/2016,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,1982,"£47,859.97",CHC RECHARGES JULY 2016,
Department of Health,03F,31/08/2016,Other professional fees,NON RECURRENT PROGRAMMES,ATTAIN COMMISSIONING SERVICES LTD,2047,"£55,433.58",HUMBER COAST & VALE STP MAY 2016 EXPS,
Department of Health,03F,31/08/2016,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,574HC04,"£36,811.69","FACE TO FACE INTERPRETING, TELEPHONE & TRANSLATION OF DOCUMENTS",
Department of Health,03F,31/08/2016,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,CITY HEALTH CARE PARTNERSHIP CIC,7410014783,"£52,621.51",RECHARGE CHC FUNDED PERSONAL HEALTH BUDGET MARCH 2016,
Department of Health,03F,31/08/2016,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,CITY HEALTH CARE PARTNERSHIP CIC,7410015446,"£83,466.46",RECHARGE CHC FUNDED PHB MAY & JUNE 2016,
Department of Health,03F,31/08/2016,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410015447,"£179,011.71",CORRECTION TO PREVIOUS INVOICES PHB MAY & JUNE 2016,
Department of Health,03F,31/08/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410015457,"£36,018.24",LONGHILL H/C RENT JUNE 2016,
