Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,30/04/2014,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210008233,"1,133,000.00",RECONCILE AGREED TRADING 13/14,
Department of Health,03F,30/04/2014,Clinical&Medical-Serv Recd-Oth NHS,LOCAL ENHANCED SERVICES,NHS ENGLAND,7000005892,"94,331.71",LES Q3 2013/14,
Department of Health,03F,30/04/2014,Clinical&Medical-Serv Recd-Oth NHS,LOCAL ENHANCED SERVICES,NHS ENGLAND,7000005893,"97,880.91",LES Q4 2013/14,
Department of Health,03F,30/04/2014,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS NORTH YORKSHIRE AND HUMBER CSU,7310101359,"32,129.00",COMMISSIONING SUPPORT PER SLA - APRIL 14 MEDICINES MANAGEMENT,
Department of Health,03F,30/04/2014,Charges from CSU,PROGRAMME PROJECTS,NHS NORTH YORKSHIRE AND HUMBER CSU,7310101363,"53,921.00",GP IT SLA PROGRAMME - APRIL 2014,
Department of Health,03F,30/04/2014,Charges from CSU,PROGRAMME PROJECTS,NHS NORTH YORKSHIRE AND HUMBER CSU,7310101382,"252,446.00",COMMISSIONING SUPPORT PER SLA - APRIL 2014,
Department of Health,03F,30/04/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010002110,"145,217.00",FINAL ESTIMATE INVOICE HULL MENTAL HEALTH 19/03/14,
Department of Health,03F,30/04/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,HUMBER NHS FOUNDATION TRUST,1010002111,"28,800.00",FINAL ESTIMATED INVOICE THERAPY SERVICES 19/03/14,
Department of Health,03F,30/04/2014,Audit Fees: Internal,FINANCE,HUMBER NHS FOUNDATION TRUST,1010002278,"29,082.00",PROV INTERNAL AUDIT & COUNTERFRAUD SERVICES JAN 14 - MAR 14,
Department of Health,03F,30/04/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,HUMBER NHS FOUNDATION TRUST,1010002426,"463,250.32",APRIL 2014 - THERAPY SERVICES BASELINE CONTRACT,
Department of Health,03F,30/04/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010002428,"2,438,191.20",MH BASELINE CONTRACT - BLOCK CONTRACT 2014/15  APRIL 2014,
Department of Health,03F,30/04/2014,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010002429,"30,470.83",MH 50% CQUIN - BLOCK CONTRACT 2014/15  APRIL 2014,
Department of Health,03F,30/04/2014,Hcare Srv Rec Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,PP2810003963,"797,188.04",A&E BLOCK CONTRACT APRIL 2014,
Department of Health,03F,30/04/2014,Hcare Srv Rec Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210008894,"14,094,283.00",2014 BLOCK CONTRACT INVOICE,
Department of Health,03F,30/04/2014,Clinical&Medical-Independent Sector,CHC CHILD PERS HLTH BUD,HULL CITY COUNCIL,1000189284,"60,900.00",CHILDRENS PERSONAL HEALTH BUDGETS 13/14,
Department of Health,03F,30/04/2014,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HULL CITY COUNCIL,1000189738,"38,901.16",FNC RECHARGES 03/02/14 - 02/03/14,
Department of Health,03F,30/04/2014,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HULL CITY COUNCIL,1000190034,"38,452.33",FNC RECHARGES 03/03/14 - 31/03/14,
Department of Health,03F,30/04/2014,Clinical&Medical-Othe Public Sector,COLLABORATIVE COMMISSIONING,HULL CITY COUNCIL,1000190135,"31,360.80",RECHARGE COLLABORATIVE SERVICES JAN - MARCH,
Department of Health,03F,30/04/2014,Cont Care - Prior Year Payments,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000190290,"691,609.43",CONTINUING HEALTH RECHARGES - MARCH 2014,
Department of Health,03F,30/04/2014,Services From Local Authorities,LEARNING DIFFICULTIES,HULL CITY COUNCIL,1000191089,"123,028.56",CARE IN THE COMMUNITY APRIL 2014,
Department of Health,03F,30/04/2014,Services From Local Authorities,COMMISSIONING - NON ACUTE,HULL CITY COUNCIL,1000191191,"40,635.00",RECHARGE IN RESPECT OF THE SECTION 75 AGREEMENTS,
Department of Health,03F,30/04/2014,Services From Local Authorities,CARERS,HULL CITY COUNCIL,1000191297,"33,421.67",RECHARGE IN RESPECT OF THE CARERS SUPPORT SERVICE CONTRACT APRIL 2014,
Department of Health,03F,30/04/2014,Services From Local Authorities,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,1160HC07,"32,005.20",PROV INTERPRETING SERVICES,
