Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,30/11/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR A KUMAR-CHOUDHARY,KHU000026785,"£33,965.29",CONTRACT PAYMENTS MONTH 8,
Department of Health,03F,30/11/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR JR LORENZ & PARTNERS,KHU000026787,"£153,678.55",CONTRACT PAYMENTS MONTH 8,
Department of Health,03F,30/11/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MJ VARMA & PARTNERS,KHU000026789,"£91,827.39",CONTRACT PAYMENTS MONTH 8,
Department of Health,03F,30/11/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R RAUT & PARTNER,KHU000026791,"£42,387.09",CONTRACT PAYMENTS MONTH 8,
Department of Health,03F,30/11/2017,C&M-APMS Prof Fees Prescribing,LOCAL ENHANCED SERVICES,EAST PARK PRACTICE,KHU000026793,"£51,633.90",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/11/2017,C&M-APMS Prof Fees Prescribing,LOCAL ENHANCED SERVICES,KINGSTON MEDICAL GROUP,KHU000026795,"£267,822.85",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/11/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000026796,"-£59,482.86",CONTRACT PAYMENTS MONTH 8,
Department of Health,03F,30/11/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000026797,"£211,018.01",CONTRACT PAYMENTS MONTH 8,
Department of Health,03F,30/11/2017,C&M-APMS Prof Fees Prescribing,LOCAL ENHANCED SERVICES,NORTHPOINT,KHU000026799,"£47,368.02",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/11/2017,C&M-APMS Prof Fees Prescribing,LOCAL ENHANCED SERVICES,RIVERSIDE MEDICAL CENTRE KINGSTON HULL,KHU000026801,"£47,781.54",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/11/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SUTTON MANOR SURGERY,KHU000026803,"£92,156.54",CONTRACT PAYMENTS MONTH 8,
Department of Health,03F,30/11/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,AVENUES MEDICAL CENTRE,KHU000026947,"£61,131.51",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/11/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DIADEM MEDICAL PRACTICE,KHU000026950,"£157,100.79",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/11/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR BLOW J D & PARTNERS,KHU000026952,"£108,323.96",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/11/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR AWAN R K & PARTNERS,KHU000026954,"£91,222.01",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/11/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR CHOWDHURY G M & PARTNER,KHU000026955,"£29,603.02",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/11/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR COOK B F,KHU000026957,"£36,061.78",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/11/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR HENDOW G T,KHU000026961,"£25,286.06",CONTRACT PAYMENTS MONTH 8,
Department of Health,03F,30/11/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR FOULDS M & PARTNER,KHU000026963,"£101,309.36",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/11/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MILLER J & PARTNERS,KHU000026966,"£89,553.94",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/11/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MALCZEWSKI G S,KHU000026968,"£28,418.67",LOCAL ENHANCED SERVICES,
