Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,31/05/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,EAST RIDING FERTILITY SERVICES LTD,121293,"£40,032.59",ACTIVITY MONTH ENDED 31/03/16,
Department of Health,03F,31/05/2016,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,1468,"-£70,919.30",CREDIT AGAINST INV 7410013800,
Department of Health,03F,31/05/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010007910,"£2,732,603.96",BLCOK CONTRACT MAY 2016,
Department of Health,03F,31/05/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410043098,"£54,597.69",AP02 INVOICE FOR 1/12TH OF 15/16 CONTRACT AGREEMENT FOR THE YEAR 2016/17,
Department of Health,03F,31/05/2016,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,2400012183,"£26,469.00",NCA ACTIVITY M12 15/16,
Department of Health,03F,31/05/2016,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810014244,"£801,432.00",A&E CONTRACT MAY 16 BLOCK,
Department of Health,03F,31/05/2016,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810014264,"£30,484.00",HART FUNDING MAY 16 BLOCK,
Department of Health,03F,31/05/2016,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810014315,"£55,103.00",NHS 111 CONTRACT MAY 2016,
Department of Health,03F,31/05/2016,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810014344,"£118,422.33",PTS EY&H MAY BLOCK,
Department of Health,03F,31/05/2016,Computer Network Costs,PRIMARY CARE IT,NHS YORKSHIRE AND HUMBER CS,7312406986,"£38,097.00",RECHARGE KC INVOICE,
Department of Health,03F,31/05/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,H0000065,"£14,216,667.00",MAY 16 BLOCK,
Department of Health,03F,31/05/2016,Clinical&Medical-Independent Sector,PATIENT TRANSPORT,SRCL LTD,975992,"£29,501.41",NON PTS SERVICE & PATHOLOGY FEE APRIL 2016,
Department of Health,03F,31/05/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULPF161702,"£523,796.00",MAY 16 ESTIMATE,
Department of Health,03F,31/05/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULREC201511,"£202,385.30",SAC ACTIVITIES FEB 15/16 SPIRE HULL,
Department of Health,03F,31/05/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FKPICRM1M9,"-£30,429.57",TRANSACTIONAL KPI'S APR 15 - DEC 15,
Department of Health,03F,31/05/2016,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000228695,"£429,304.99",CHC RECHARGES APRIL 2016,
Department of Health,03F,31/05/2016,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000228727,"£110,137.77",CARE IN THE COMMUNITY RECHARGE APRIL 2016,
Department of Health,03F,31/05/2016,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,HULL CITY COUNCIL,1000228729,"£25,000.00",THE AGE CONCERN FALLS PROJECT 2016/17,
Department of Health,03F,31/05/2016,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000229447,"£27,000.00",FOUR SEASONS FUNDING 2016/17,
Department of Health,03F,31/05/2016,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000229744,"£403,766.07",CHC RECHARGES MAY 2016,
Department of Health,03F,31/05/2016,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HULL CITY COUNCIL,1000230229,"£39,969.12",FNC RECHARGES 25/04/16 - 22/05/16,
Department of Health,03F,31/05/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB LTD,1800093598,"£264,874.12",EQUIPMENT PURCHASES 01/04/16 - 29/04/16,
Department of Health,03F,31/05/2016,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,1841,"£46,316.10",CHC APRIL 2016,
Department of Health,03F,31/05/2016,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,1842,"£47,859.97",CHC X4 01/05/16 - 31/05/16,
Department of Health,03F,31/05/2016,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,192HC01,"£42,611.14",INTERPETING SERVICES FACE TO FACE & TELEPHONE,
Department of Health,03F,31/05/2016,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,2084HC13,"£36,625.68",INTERPRETING SERVICES,
Department of Health,03F,31/05/2016,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,CITY HEALTH CARE PARTNERSHIP CIC,7410014280,"£39,465.77",PAIN MANAGEMENT MARCH 16,
Department of Health,03F,31/05/2016,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,CITY HEALTH CARE PARTNERSHIP CIC,7410014298,"£50,325.30",NIGHT SITS MARCH 16,
Department of Health,03F,31/05/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410014382,"£300,000.00",MAY 16 CONTRACTUAL INCOME URGENT CARE 16/17 ,
Department of Health,03F,31/05/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410014384,"£1,625,000.00",MAY 16 CONTRACTUAL INCOME INTEGRATED COMMUNITY SERVICES,
Department of Health,03F,31/05/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410014386,"£106,566.66",CONTRACTUAL INCOME INTEGRATED COMMUNITY SERVICES APRIL - MAY 2016,
Department of Health,03F,31/05/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410014388,"£54,166.67",MAY CONTRACTUAL INCOME SEXUAL HEALTH SERVICES 16/17,
Department of Health,03F,31/05/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410014445,"£112,666.67",URGENT CAT ADDITIONAL MONIES APRIL - MAY 2016,
Department of Health,03F,31/05/2016,Clinical&Medical-Independent Sector,MENTAL HEALTH CONTRACTS,CITY HEALTH CARE PARTNERSHIP CIC,7410014469,"£292,448.52",CONTRACTUAL INCOME DEPRESSION & ANXIETY SERVICE APRIL 2016,
Department of Health,03F,31/05/2016,Clinical&Medical-Independent Sector,MENTAL HEALTH CONTRACTS,CITY HEALTH CARE PARTNERSHIP CIC,7410014470,"£292,448.52",CONTRACTUAL INCOME DEPRESSION & ANXIETY SERVICE MAY 2016,
Department of Health,03F,31/05/2016,Charges from CSU,PROGRAMME PROJECTS,KIER BUSINESS SERVICES LTD,90210459,"£177,572.40",SERVICES RECEIVED IN YORKSHIRE & HUMBER CCG'S MAY 2016,
Department of Health,03F,31/05/2016,Clinical&Medical-Voluntary Sector,HOSPICES,DOVE HOUSE HOSPICE,FR204,"£93,200.00",CONTRACT FUNDING 2016/17,
