Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,31/03/2014,ACUTE COMMISSIONING,Hcare Srv Rec NHS Trust-Contract Baseline,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210007475,"14,183,333.33",13/14 BLOCK CONTRACT MARCH 2013,
Department of Health,03F,31/03/2014,ACUTE COMMISSIONING,Hcare Srv Rec NHS Trust-Over/ Under Performance,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210008233,"400,000.00",RECONCILE AGREED TRADING 13/14,
Department of Health,03F,31/03/2014,AMBULANCE SERVICES,Hcare Srv Rec NHS Trust-Contract Baseline,YORKSHIRE AMBULANCE SERVICE NHS TRUST,9046,"-31,864.00",ADJ CR RE OF REBASING OF 2013/14  A&E BLOCK CONTRACT FOR PERIOD APL - OCT 13,
Department of Health,03F,31/03/2014,COMMUNITY SERVICES,Clinical&Medical-Independent Sector,NOTTINGHAM REHAB SUPPLIES,1800089407,"41,431.16",EQUIPMENT COST FO WHEELCHAIR SERVICE DEC 13,
Department of Health,03F,31/03/2014,COMMUNITY SERVICES,Clinical&Medical-Voluntary Sector,NOTTINGHAM REHAB SUPPLIES,1800089408,"25,455.96",EQUIPMENT COSTS FOR WHEELCHAIR DEC 13,
Department of Health,03F,31/03/2014,COMMISSIONING - NON ACUTE,Charges from CSU,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100893,"42,000.00",CCG INCOME,
Department of Health,03F,31/03/2014,COMMISSIONING - NON ACUTE,Charges from CSU,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100895,"185,000.00",CCG INCOME,
Department of Health,03F,31/03/2014,MEDICINES MANAGEMENT - CLINICAL,Charges from CSU,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100906,"32,751.00",NON CONTRACT MARCH 14,
Department of Health,03F,31/03/2014,FINANCE,Charges from CSU,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100916,"271,547.00",COMMISSIONING SUPPORT PER SLA,
Department of Health,03F,31/03/2014,PROGRAMME PROJECTS,Charges from CSU,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100923,"53,923.00",CCG INCOME IT SLA,
Department of Health,03F,31/03/2014,MENTAL HEALTH CONTRACTS,Hcare Srv Rec Fdtn Trust-Contract Baseline,HUMBER NHS FOUNDATION TRUST,1010001793,"2,561,592.86",MENTAL HEALTH BLOCK MARCH 14,
Department of Health,03F,31/03/2014,COMMUNITY SERVICES,Hcare Srv Rec Fdtn Trust-Contract Baseline,HUMBER NHS FOUNDATION TRUST,1010001795,"424,806.65",THERAPY SERVICES BASELINE BLOCK CONTRACT MARCH 14,
Department of Health,03F,31/03/2014,COMMUNITY SERVICES,Hcare Srv Rec Fdtn Trust-Contract Baseline,HUMBER NHS FOUNDATION TRUST,1010001796,"54,288.26",THERAPY SERVICES BASELINE BLOCK CONTRACT MARCH 14,
Department of Health,03F,31/03/2014,COMMUNITY SERVICES,Hcare Srv Rec Fdtn Trust-Contract Baseline,HUMBER NHS FOUNDATION TRUST,1010002011,"280,000.00",COMMUNITY PAEDIATRIC CHARGE APR 13 - MAR 14,
Department of Health,03F,31/03/2014,COMMISSIONING - NON ACUTE,Other Research Exp,HUMBER NHS FOUNDATION TRUST,1010002012,"42,710.00",FUNDING FOR 40 WEEK RESEARCH PROJECT ,
Department of Health,03F,31/03/2014,AMBULANCE SERVICES,Hcare Srv Rec NHS Trust - Contract Variation,YORKSHIRE AMBULANCE SERVICE NHS TRUST,PP2810003111/2810003252/CR9046,"820,011.00",A&E BLOCK CONTRACT EXCLUDING CQUINS MARCH 2014,
Department of Health,03F,31/03/2014,AMBULANCE SERVICES,Hcare Srv Rec NHS Trust - Over/Under Performance,YORKSHIRE AMBULANCE SERVICE NHS TRUST,PPMARCHBLOCK2810003237,"269,607.00",CHARGE IN RESPECT OF ACTIVITY OVER TRADE AGAINST A&E BLOCK CONTRACT Q1-Q3,
Department of Health,03F,31/03/2014,AMBULANCE SERVICES,Hcare Srv Rec NHS Trust - Contract Baseline,YORKSHIRE AMBULANCE SERVICE NHS TRUST,PPMARCHBLOCK2810003316,"96,490.00",CHARGE IN RESPECT OF PTS CONTRACT MARCH 2014 EXCLUDING CQUINS,
Department of Health,03F,31/03/2014,ACUTE COMMISSIONING,Clinical&Medical-Independent Sector,SPIRE HEALTHCARE LTD,03F010314PFHUL,"395,122.00",PERIOD OF SERVICE MARCH 14,
Department of Health,03F,31/03/2014,FUNDED NURSING CARE,Cont Care-Funded Nursing Care Allow,WARREN CENTRE,840,"37,500.00",NC 17/9/13 - 19/9/13  AC,
Department of Health,03F,31/03/2014,COMMUNITY SERVICES,Clinical&Medical-Independent Sector,HULL CITY COUNCIL,1000177457,"72,703.90",RECHARGE IN RESPECT OF RIVERBANK CLIENTS 50/50 FUNDING,
Department of Health,03F,31/03/2014,CARERS,Services From Local Authorities,HULL CITY COUNCIL,1000188209,"49,600.00",YOUNG CARERS SHORT BREAKS,
Department of Health,03F,31/03/2014,COMMUNITY SERVICES,Services From Local Authorities,HULL CITY COUNCIL,1000189383,"123,028.56",CARE IN THE COMMUNITY MARCH 2014,
Department of Health,03F,31/03/2014,CARERS,Services From Local Authorities,HULL CITY COUNCIL,1000189389,"33,421.67",RECHARGE CARERS SUPPORT SERVICE MARCH 2014,
Department of Health,03F,31/03/2014,INTERPRETING SERVICES,Other Gen Supplies & Srv,AA GLOBAL LANGUAGE SERVICES LTD,1043HC06,"38,049.44",PROVISION OF FACE TO FACE INTERPRETING SERVICES,
Department of Health,03F,31/03/2014,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,Clinical&Medical-Independent Sector,JOAN PICKARD LTD,111314,"52,883.81",COMPLETED REFERRAL,
Department of Health,03F,31/03/2014,ACUTE COMMISSIONING,Clinical&Medical-Independent Sector,EAST RIDING FERTILITY SERVICES LTD,116413,"28,034.78",NHS ACTIVITY FEB 14,
Department of Health,03F,31/03/2014,FUNDED NURSING CARE,Cont Care-Funded Nursing Care Allow,FOXGLOVE CARE LTD,1175,"64,927.07",FEES BH 1/1/14 - 1/2/14,
Department of Health,03F,31/03/2014,WHEELCHAIR SERVICE,Clinical&Medical-Voluntary Sector,NOTTINGHAM REHAB SUPPLIES,1800089540,"27,513.85",EQUIPMENT COSTS FOR WHEELCHAIR SERVICES JAN 14,
Department of Health,03F,31/03/2014,COMMUNITY SERVICES,Clinical&Medical-Independent Sector,NOTTINGHAM REHAB SUPPLIES,1800089541,"41,328.40",EQUIPMENT COSTS FOR WHEELCHAIR JAN 14,
Department of Health,03F,31/03/2014,COMMUNITY SERVICES,Clinical&Medical-Independent Sector,NOTTINGHAM REHAB SUPPLIES,1800089543,"113,662.25",EQUIPMENT PURCHASES,
Department of Health,03F,31/03/2014,COMMUNITY SERVICES,Clinical&Medical-Independent Sector,CITY HEALTH CARE PARTNERSHIP CIC,203,"-26,013.66",CREDIT INV 7410001487,
