Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description
Department of Health,03F,31/12/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MJ VARMA & PARTNERS,KHU000037286,"£93,375.23",CONTRACT PAYMENT MONTH 09
Department of Health,03F,31/12/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R RAUT & PARTNER,KHU000037288,"£46,925.59",CONTRACT PAYMENT MONTH 09
Department of Health,03F,31/12/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST PARK PRACTICE,KHU000037290,"£59,554.03",CONTRACT PAYMENT MONTH 09
Department of Health,03F,31/12/2019,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000037291,"-£41,246.62",CONTRACT PAYMENT MONTH 09
Department of Health,03F,31/12/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000037292,"£288,545.25",CONTRACT PAYMENT MONTH 09
Department of Health,03F,31/12/2019,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000037293,"-£65,834.65",CONTRACT PAYMENT MONTH 09
Department of Health,03F,31/12/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000037294,"£258,159.62",CONTRACT PAYMENT MONTH 09
Department of Health,03F,31/12/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NORTHPOINT,KHU000037296,"£52,376.51",CONTRACT PAYMENT MONTH 09
Department of Health,03F,31/12/2019,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,SUTTON MANOR SURGERY,KHU000037298,"£152,050.25",CONTRACT PAYMENT MONTH 09
Department of Health,03F,31/12/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,AVENUES MEDICAL CENTRE,KHU000037467,"£82,989.46",CONTRACT PAYMENT MONTH 09
Department of Health,03F,31/12/2019,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR BLOW J D & PARTNERS,KHU000037468,"-£34,328.38",CONTRACT PAYMENT MONTH 09
Department of Health,03F,31/12/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR BLOW J D & PARTNERS,KHU000037469,"£112,900.15",CONTRACT PAYMENT MONTH 09
Department of Health,03F,31/12/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR AWAN R K & PARTNERS,KHU000037471,"£98,683.00",CONTRACT PAYMENT MONTH 09
Department of Health,03F,31/12/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR COOK B F,KHU000037473,"£52,329.08",CONTRACT PAYMENT MONTH 09
Department of Health,03F,31/12/2019,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR FOULDS M & PARTNER,KHU000037478,"-£28,998.62",CONTRACT PAYMENT MONTH 09
Department of Health,03F,31/12/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR FOULDS M & PARTNER,KHU000037479,"£105,303.98",CONTRACT PAYMENT MONTH 09
