Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,31/12/2017,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1490010498,"-53,768.01",QTR 2 2017/18 REC,
Department of Health,03F,31/12/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR A KUMAR-CHOUDHARY,KHU000027224,"36,108.31",CONTRACT PAYMENTS MONTH 9,
Department of Health,03F,31/12/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR JR LORENZ & PARTNERS,KHU000027226,"158,562.80",CONTRACT PAYMENTS MONTH 9,
Department of Health,03F,31/12/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MJ VARMA & PARTNERS,KHU000027228,"95,239.14",CONTRACT PAYMENTS MONTH 9,
Department of Health,03F,31/12/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R RAUT & PARTNER,KHU000027230,"45,239.28",CONTRACT PAYMENTS MONTH 9,
Department of Health,03F,31/12/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST PARK PRACTICE,KHU000027232,"50,898.93",CONTRACT PAYMENTS MONTH 9,
Department of Health,03F,31/12/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000027234,"300,428.14",CONTRACT PAYMENTS MONTH 9,
Department of Health,03F,31/12/2017,C&M-APMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000027235,"-26,560.20",CONTRACT PAYMENTS MONTH 9,
Department of Health,03F,31/12/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000027236,"217,042.53",CONTRACT PAYMENTS MONTH 9,
Department of Health,03F,31/12/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SUTTON MANOR SURGERY,KHU000027240,"87,668.78",CONTRACT PAYMENTS MONTH 9,
Department of Health,03F,31/12/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,AVENUES MEDICAL CENTRE,KHU000027389,"61,651.29",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/12/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DIADEM MEDICAL PRACTICE,KHU000027393,"145,794.39",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/12/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR BLOW J D & PARTNERS,KHU000027395,"117,232.64",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/12/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR AWAN R K & PARTNERS,KHU000027397,"102,735.28",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/12/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR CHOWDHURY G M & PARTNER,KHU000027398,"34,601.21",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/12/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR COOK B F,KHU000027400,"41,377.62",LOCAL ENHANCED SERVICES,
