Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,30/04/2016,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810013919,"£801,432.00",A & E CONTRACT INTERIM APRIL 2016,
Department of Health,03F,30/04/2016,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810013939,"£30,484.00",A & E CONTRACT APRIL 2016,
Department of Health,03F,30/04/2016,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,NHS ENGLAND,7000019350,"£86,653.49",LES Q4 RECHARGES,
Department of Health,03F,30/04/2016,Hcare Srv Rec Fdtn Trust-Non Contract,COMMISSIONING SCHEMES,SALFORD ROYAL NHS FOUNDATION TRUST,1000171043,"£60,000.00",OHS URGENT CARE NEL SEP 15 TO MAR 16,
Department of Health,03F,30/04/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010007505,"£69,500.00",CONTRACT VARIATION 10 VP114 HULL CAMHS WAITING LIST,
Department of Health,03F,30/04/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010007506,"£750,000.00",CONTRACT VARIATION 11 ADULT AND OLDER PEOPLE TRANSITIONAL SUPPORT,
Department of Health,03F,30/04/2016,External Consultancy Fees,NON RECURRENT PROGRAMMES,HUMBER NHS FOUNDATION TRUST,1010007509,"£26,104.00",RECHARGE KPMG INVOICE 5501162443,
Department of Health,03F,30/04/2016,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010007536,"£170,959.00",QTR 4 CQUIN ,
Department of Health,03F,30/04/2016,Hlthcre-Foundation Trsts,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010007542,"£41,440.51",RENTAL & SERVICE CHARGES HIGHLANDS HEALTH CENTRE 2015/16,
Department of Health,03F,30/04/2016,Hlthcre-Foundation Trsts,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010007543,"£121,089.11",RENTAL & SERVICE CHARGES BRANSHOLME HC & WILBERFORCE HC,
