Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,31/12/2015,Public Relations Expenses,COMMUNICATIONS & PR,DR JR LORENZ & PARTNERS,1,"£26,667.00",BETTER CARE FUND MARCH - OCTOBER 2015,
Department of Health,03F,31/12/2015,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,NHS ENGLAND,7000017602,"£77,855.60",LOCAL ENHANCED SERVICE Q1,
Department of Health,03F,31/12/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010006636,"£2,905,447.45",DECEMBER 2015/16 BLOCK CONTRACT PAYMENT MENTAL HEALTH & THERAPY SERVICES,
Department of Health,03F,31/12/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210020212,"£14,216,667.00",2015/16 BLOCK CONTRACT DECEMBER 2015,
Department of Health,03F,31/12/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810012036,"£801,432.00",A&E CORE CONTRACT EXCLUDING CAQUINS DECEMBER 2015,
Department of Health,03F,31/12/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810012056,"£30,484.00",HART FUNDING DECEMBER 2015,
Department of Health,03F,31/12/2015,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810012107,"£55,103.00",NHS111 CONTRACT DECEMBER 2015,
Department of Health,03F,31/12/2015,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810012136,"£118,422.33",PTS CONTRACT DECEMBER 2015,
Department of Health,03F,31/12/2015,Charges from CSU,FINANCE,NHS YORKSHIRE AND HUMBER CS,7312404805,"£275,642.00","BASELINE 15/16 MONTH 9, 14/15 SLA LESS 5% ON ADMIN",
Department of Health,03F,31/12/2015,Charges from CSU,PROGRAMME PROJECTS,NHS YORKSHIRE AND HUMBER CS,7312404837,"£52,233.00",GP IT MONTH 9,
Department of Health,03F,31/12/2015,NHS Recbles <1 Yr - CHC Risk Pool Con,BALANCE SHEET,PRIVATE INDIVIDUAL,102466-04-DEC-2015,"£90,086.18",REIMBURSEMENT OF CARE FEES ,
