Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,30/11/2014,Charges from CSU,Service Planning & Reform,NHS NORTH YORKSHIRE AND HUMBER CSU,7310102221,"152,975.00",HULL 2020 PROJECT APRIL - SEPTEMBER 2014,
Department of Health,03F,30/11/2014,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1010020767,"32,282.12",NCA-14/15-AUG,
Department of Health,03F,30/11/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210012384,"14,094,283.00",BLOCK CONTRACT NOVEMBER 2014,
Department of Health,03F,30/11/2014,Clinical&Medical-Serv Recd-Oth NHS,LOCAL ENHANCED SERVICES,NHS ENGLAND,7000010038,"111,757.48",ENHANCED SERVICES Q1,
Department of Health,03F,30/11/2014,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS NORTH YORKSHIRE AND HUMBER CSU,7310102503,"47,988.08",COMMISSIONING SUPPORT - PROGRAMME NOV 14,
Department of Health,03F,30/11/2014,Charges from CSU,FINANCE,NHS NORTH YORKSHIRE AND HUMBER CSU,7310102504,"236,587.00",NHS CCG INCOME,
Department of Health,03F,30/11/2014,Charges from CSU,PROGRAMME PROJECTS,NHS NORTH YORKSHIRE AND HUMBER CSU,7310102519,"52,233.00",NHS CCG INCOME,
Department of Health,03F,30/11/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,HUMBER NHS FOUNDATION TRUST,1010003664,"463,250.32",THERAPY SERVICES NOVEMBER 2014,
Department of Health,03F,30/11/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010003666,"2,223,915.53",MENTAL HEALTH BLOCK  NOVEMBER 2014,
Department of Health,03F,30/11/2014,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010003667,"27,795.83",MENTAL HEALTH BLOCK  NOVEMBER 2014,
Department of Health,03F,30/11/2014,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,2400006659,"31,234.00",NCA-14/15-SEP,
Department of Health,03F,30/11/2014,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810006704,"789,996.72",A & E BLOCK NOV 14,
Department of Health,03F,30/11/2014,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810006776,"53,990.00",INCOME CCG NOVEMBER 2014,
Department of Health,03F,30/11/2014,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810006804,"118,422.33",PTS INCOME CCG,
Department of Health,03F,30/11/2014,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,3510014026,"26,929.00",NCA JULY 2014,
Department of Health,03F,30/11/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,447041,"80,046.00",MISC 1/12TH NOV 14,
Department of Health,03F,30/11/2014,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,SCRIPTSWITCH LTD,737,"128,082.46",SCRIPTSWITCH ANNUAL LICENCE FEE 01/04/2014 - 31/03/2015,
Department of Health,03F,30/11/2014,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,ABL HEALTH LTD,1,"-26,376.28",13341 30/4/14,
Department of Health,03F,30/11/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HUMBER ALL NATIONS ALLIANCE,3071402,"41,828.00",MENTAL HEALTH CDW PROJECT 01/07/14 - 30/09/14,
Department of Health,03F,30/11/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03F011114PFHUL,"419,093.00",SAC 14/15- NOVEMBER,
Department of Health,03F,30/11/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03F1314CARDIACCR,"-288,053.34",CREDIT RE CARDIAC & CARDIOTHORACIC ACTIVTY 2013/14,
