Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description
Department of Health,03F,31/07/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR JR LORENZ & PARTNERS,KHU000030406,"£116,434.22",CONTRACT PAYMENT MONTH4
Department of Health,03F,31/07/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MJ VARMA & PARTNERS,KHU000030408,"£97,232.14",CONTRACT PAYMENT MONTH4
Department of Health,03F,31/07/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R RAUT & PARTNER,KHU000030410,"£41,287.05",CONTRACT PAYMENT MONTH4
Department of Health,03F,31/07/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST PARK PRACTICE,KHU000030411,"£40,281.22",CONTRACT PAYMENT MONTH4
Department of Health,03F,31/07/2018,C&M-APMS Prem Service Charges,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000030412,"-£108,952.52",CONTRACT PAYMENT MONTH4
Department of Health,03F,31/07/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000030413,"£242,951.19",CONTRACT PAYMENT MONTH4
Department of Health,03F,31/07/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000030415,"£187,393.60",CONTRACT PAYMENT MONTH4
Department of Health,03F,31/07/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NORTHPOINT,KHU000030416,"£55,810.68",CONTRACT PAYMENT MONTH4
Department of Health,03F,31/07/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SUTTON MANOR SURGERY,KHU000030418,"£92,756.03",CONTRACT PAYMENT MONTH4
Department of Health,03F,31/07/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,AVENUES MEDICAL CENTRE,KHU000030583,"£59,077.81",LOCAL ENHANCED SERVICES
Department of Health,03F,31/07/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DIADEM MEDICAL PRACTICE,KHU000030585,"£253,693.53",LOCAL ENHANCED SERVICES
Department of Health,03F,31/07/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR BLOW J D & PARTNERS,KHU000030587,"£178,212.63",LOCAL ENHANCED SERVICES
Department of Health,03F,31/07/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR AWAN R K & PARTNERS,KHU000030589,"£95,097.98",LOCAL ENHANCED SERVICES
