Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,30/09/2015,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,BARCHESTER HEALTHCARE LTD,VARIOUSINVOICESPAID,"-33,644.04 ",CREDIT CHC INVOICES,
Department of Health,03F,30/09/2015,Hcare Srv Rec Fdtn Trust-Non Contract,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,HUMBER NHS FOUNDATION TRUST,1010004127," 38,929.76 ",PROVISION OF SERVICES TO CLUSTER 1-4 PATIENTS ,
Department of Health,03F,30/09/2015,Hcare Srv Rec Fdtn Trust-Non Contract,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,HUMBER NHS FOUNDATION TRUST,1010004201," 34,404.27 ",PROVISION OF SERVICES TO CLUSTER 1-4 PATIENTS NOVEMBER 2014,
Department of Health,03F,30/09/2015,Hcare Srv Rec Fdtn Trust-Non Contract,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,HUMBER NHS FOUNDATION TRUST,1010004898," 169,929.44 ",PROVISION OF SERVICES TO CLUSTER 1-4 PATIENTS FEBRUARY 2015,
Department of Health,03F,30/09/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010005987," 2,679,599.75 ",SEPTEMBER 2015/16 BLOCK CONTRACT MENTAL HEALTH AND THERAPY SERVICES,
Department of Health,03F,30/09/2015,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1010030137," 47,413.53 ",NCA JUNE 2015,
Department of Health,03F,30/09/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210018458," 14,216,667.00 ",2015/16 BLOCK CONTRACT INVOICE SEPTEMBER 2015,
Department of Health,03F,30/09/2015,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,2400009695," 27,145.00 ",NCA JULY 2015,
Department of Health,03F,30/09/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810010753," 801,432.00 ",A&E CONTRACT SEPTEMBER 2015,
Department of Health,03F,30/09/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810010775," 30,484.00 ",HART FUNDING SEPTEMBER 2015,
Department of Health,03F,30/09/2015,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810010826," 53,990.00 ",NHS111 CONTRACT SEPTEMBER 2015,
Department of Health,03F,30/09/2015,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810010855," 118,422.33 ",PTS CONTRACT SEPTEMBER 2015,
Department of Health,03F,30/09/2015,Hcare Srv Rec Fdtn Trust-Non Contract,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,HUMBER NHS FOUNDATION TRUST,493,"-38,929.76 ",CREDIT AGAINST INV 1010004127,
Department of Health,03F,30/09/2015,Clinical&Medical-Independent Sector,NCAS/OATS,HUMBER NHS FOUNDATION TRUST,495,"-34,404.27 ",RIGHT WRIST BRACE - MORRILL STREET GROUP PRACTICE,
Department of Health,03F,30/09/2015,Hcare Srv Rec Fdtn Trust-Non Contract,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,HUMBER NHS FOUNDATION TRUST,496,"-169,929.44 ",CREDIT AGAINST INV 1010004898,
Department of Health,03F,30/09/2015,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,508,"-57,265.00 ",QTR 4 CQUIN RECONCILIATION 2014/15,
Department of Health,03F,30/09/2015,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS YORKSHIRE AND HUMBER CS,7312403632," 275,642.00 ",BASELINE 15/16 MONTH 6 14/15 SLA LESS 5% ON ADMIN,
Department of Health,03F,30/09/2015,Charges from CSU,PROGRAMME PROJECTS,NHS YORKSHIRE AND HUMBER CS,7312403678," 52,233.00 ",GP IT SLA SEPTEMBER ,
Department of Health,03F,30/09/2015,Hcare Srv Rec NHS Trust-Contract Penalties,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,9620,"-47,202.00 ",CREDIT NOTE - A&E PERFORMANCE PENALTIES Q1 2015/16,
Department of Health,03F,30/09/2015,NHS Recbles<1 Yr- CHC Risk Pool Con,BALANCE SHEET,PRIVATE INDIVIDUAL,102220-01-SEP-2015," 44,992.20 ",REIMBURSEMENT OF CARE FEES FOR PATIENT ,
Department of Health,03F,30/09/2015,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - OTHER,GOODWIN DEVELOPMENT TRUST LTD,13973," 48,000.00 ",COURT WARDENS APRIL 2015 - MARCH 2016,
Department of Health,03F,30/09/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HUMBER ALL NATIONS ALLIANCE,3081502," 40,657.33 ",BME MENTAL HEALTH CDW PROJECT 01/07/2015 - 30/09/2015,
Department of Health,03F,30/09/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULPF201506," 523,796.00 ",1/12 ESTIMATED ANNUAL CONTRACT VALUE SEPTEMBER 2015,
Department of Health,03F,30/09/2015,Public Relations Expenses,PATIENT AND PUBLIC INVOLVEMENT,HULL CITY COUNCIL,1000205012," 30,000.00 ","PEOPLES PANEL SURVERYS JUNE/JULY 2014, SEPTEMBER/OCTOBER 2014 AND JANUARY 2015",
Department of Health,03F,30/09/2015,Public Relations Expenses,PATIENT AND PUBLIC INVOLVEMENT,HULL CITY COUNCIL,1000207187," 30,000.00 ","PEOPLES PANEL SURVERYS JUNE/JULY 2014, SEPTEMBER/OCTOBER 2014 AND JANUARY 2015",
Department of Health,03F,30/09/2015,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000216098," 123,028.55 ",CARE IN THE COMMUNITY SEPTEMBER 2015,
Department of Health,03F,30/09/2015,Clinical&Medical-Othe Public Sector,CARERS,HULL CITY COUNCIL,1000216102," 33,421.67 ",CARERS SUPPORT SERVICE SEPTEMBER 2015,
Department of Health,03F,30/09/2015,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HULL CITY COUNCIL,1000216119," 49,186.24 ",FNC RECHARGES 17/08/2015 - 13/09/2015,
Department of Health,03F,30/09/2015,Cont Care- Adult Joint Funded,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000216133," 472,821.18 ",CONTINUING HEALTH RECHARGES SEPTEMBER 2015,
Department of Health,03F,30/09/2015,NHS Recbles<1 Yr- CHC Risk Pool Con,BALANCE SHEET,AVH LEGAL,102253-15-SEP-2015," 58,788.09 ",REIMBURSEMENT OF CARE FEES FOR PATIENT ,
