Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number, AP Amount (£) ,Description
Department of Health,03K,01/09/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ANCORA MEDICAL PRACTICE,KHU000036484,"214,129.72",GMS SEPTEMBER 2019
Department of Health,03K,01/09/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ASHBY TURN PRIMARY CARE PARTNERS,KHU000036450,"119,773.51",GMS SEPTEMBER 2019
Department of Health,03K,01/09/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000036476,"-47,785.16",GMS SEPTEMBER 2019
Department of Health,03K,01/09/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000036477,"125,888.35",GMS SEPTEMBER 2019
Department of Health,03K,01/09/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BIRCHES MEDICAL PRACTICE,KHU000036452,"73,390.58",GMS SEPTEMBER 2019
Department of Health,03K,01/09/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000036455,"-46,689.78",GMS SEPTEMBER 2019
Department of Health,03K,01/09/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000036456,"145,965.98",GMS SEPTEMBER 2019
Department of Health,03K,01/09/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CAMBRIDGE AVENUE MEDICAL CENTRE,KHU000036454,"144,851.53",GMS SEPTEMBER 2019
Department of Health,03K,01/09/2019,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,100100510,"48,942.00",NCA SEPTEMBER 2019
Department of Health,03K,01/09/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CEDAR MEDICAL PRACTICE,KHU000036460,"77,583.07",GMS SEPTEMBER 2019
Department of Health,03K,01/09/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000036461,"-57,044.08",GMS SEPTEMBER 2019
Department of Health,03K,01/09/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000036462,"267,576.12",GMS SEPTEMBER 2019
Department of Health,03K,01/09/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHURCH LANE MEDICAL CENTRE,KHU000036458,"91,269.35",GMS SEPTEMBER 2019
Department of Health,03K,01/09/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CORE CARE LINKS,KHU000036266,"52,760.66",PMS SEPTEMBER 2019
Department of Health,03K,01/09/2019,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,56402569,"315,222.00",SEPTEMBER 2019 SLA
Department of Health,03K,01/09/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR P A WEBSTER & PARTNERS,KHU000036463,"-58,553.41",GMS SEPTEMBER 2019
Department of Health,03K,01/09/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR P A WEBSTER & PARTNERS,KHU000036464,"233,629.71",GMS SEPTEMBER 2019
Department of Health,03K,01/09/2019,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,4000000644,"521,320.00",A&E SLA SEPTEMBER 2019
Department of Health,03K,01/09/2019,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - ADULTS,ELYSIUM HEALTHCARE LTD,HLH00514,"33,035.15",CARE AUGUST 2019
Department of Health,03K,01/09/2019,Computer Software/License,MEDICINES MANAGEMENT - CLINICAL,FIRST DATABANK UK LTD,2.01E+12,"71,489.09",OPTIMISE RX END USER SEP 19 - AUG 20
Department of Health,03K,01/09/2019,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,HAVENMERE HEALTH CARE LTD,1516B169658,"37,814.59",CHC AUGUST 2019
Department of Health,03K,01/09/2019,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - ADULTS,HAVENMERE HEALTH CARE LTD,1528B169658,"44,499.84",SPECIALIST SERVICES AUGUST 2019
Department of Health,03K,01/09/2019,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,HOLLY TREE LODGE NURSING HOME,1356,"25,904.72",CARE 29/07/19 - 25/08/19
Department of Health,03K,01/09/2019,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL UNIVERSITY TEACHING HOSPITAL NHS TRUST,H0026106,"1,134,338.00",SEPTEMBER 2019 SLA
Department of Health,03K,01/09/2019,Cont Care-Physical Disab (<65),CHC AD FULL FUND PERS HLTH BUD,JOHN KEVIN CLAYTON (SCUNTHORPE),4261 7 2019,"25,708.89",PHB OCTOBER 2019
Department of Health,03K,01/09/2019,LPF Management Fees,PRIMARY CARE IT,KIER BUSINESS SERVICES LTD,10183732,"52,778.40",SEPTEMBER 2019 BLOCK
Department of Health,03K,01/09/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,KIRTON LINDSEY SURGERY,KHU000036465,"-59,274.81",GMS SEPTEMBER 2019
Department of Health,03K,01/09/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,KIRTON LINDSEY SURGERY,KHU000036466,"216,432.25",GMS SEPTEMBER 2019
Department of Health,03K,01/09/2019,Clinical&Medical-Voluntary Sector,HOSPICES,LINDSEY LODGE HOSPICE,LLH1193,"150,000.00",19/20 IN YEAR INVESTMENT 
