Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number, AP Amount (£) ,Description
Department of Health,03K,31/05/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ANCORA MEDICAL PRACTICE,KHU000034917,"194,781.76",GMS MAY 19
Department of Health,03K,31/05/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ASHBY TURN PRIMARY CARE PARTNERS,KHU000034883,"204,733.58",GMS MAY 19
Department of Health,03K,31/05/2019,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,BARNARDOS,141008949,"30,499.08",FUNDING THERAPUTIC SERVICES 2018/19
Department of Health,03K,31/05/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000034909,"-42,237.42",GMS MAY 19
Department of Health,03K,31/05/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000034910,"117,630.86",GMS MAY 19
Department of Health,03K,31/05/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BIRCHES MEDICAL PRACTICE,KHU000034885,"115,049.65",GMS MAY 19
Department of Health,03K,31/05/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000034888,"-48,813.45",GMS MAY 19
Department of Health,03K,31/05/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000034889,"147,483.14",GMS MAY 19
Department of Health,03K,31/05/2019,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CAMBRIDGE AVENUE MEDICAL CENTRE,KHU000034886,"-41,725.64",GMS MAY 19
Department of Health,03K,31/05/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CAMBRIDGE AVENUE MEDICAL CENTRE,KHU000034887,"145,139.43",GMS MAY 19
Department of Health,03K,31/05/2019,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,100091901,"40,273.30",RECONCILIATION INV FEV 19
Department of Health,03K,31/05/2019,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,100092560,"48,942.00",SLA MAY 19
Department of Health,03K,31/05/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CEDAR MEDICAL PRACTICE,KHU000034893,"81,089.85",GMS MAY 19
Department of Health,03K,31/05/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000034894,"-57,642.46",GMS MAY 19
Department of Health,03K,31/05/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000034895,"288,734.50",GMS MAY 19
Department of Health,03K,31/05/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHURCH LANE MEDICAL CENTRE,KHU000034891,"89,200.93",GMS MAY 19
Department of Health,03K,31/05/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CORE CARE LINKS,KHU000034705,"65,066.71",GMS MAY 19
Department of Health,03K,31/05/2019,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,56399782,"36,803.00",ADJUSTMENT TO MONTH 1 CONTRACT
Department of Health,03K,31/05/2019,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,56399963,"315,222.00",SLA MAY 19
Department of Health,03K,31/05/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR P A WEBSTER & PARTNERS,KHU000034896,"-82,495.17",GMS MAY 19
Department of Health,03K,31/05/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR P A WEBSTER & PARTNERS,KHU000034897,"275,005.30",GMS MAY 19
Department of Health,03K,31/05/2019,Hcare Srv Rec NHS Trust-CQUIN,AMBULANCE SERVICES,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,4000000182,"475,897.00",SLA MAY 19
Department of Health,03K,31/05/2019,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,ELITE CARE SOLUTIONS,47254,"29,876.48",NAMED PATIENT 01/04/19-28/04/19 CARE
Department of Health,03K,31/05/2019,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,HAVENMERE HEALTH CARE LTD,1439B169658,"41,266.25",CHC SCHEDULED PAYMENT APR 19
Department of Health,03K,31/05/2019,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - ADULTS,HAVENMERE HEALTH CARE LTD,1451B169658,"42,833.26",SS SCHEDULED PAYMENT APR 19
Department of Health,03K,31/05/2019,Hcare Srv Rec NHS Trust-CQUIN,ACUTE COMMISSIONING,HULL UNIVERSITY TEACHING HOSPITAL NHS TRUST,H0022683,"67,942.50",MARCH 19 Q3 & Q4 CQUIN
Department of Health,03K,31/05/2019,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL UNIVERSITY TEACHING HOSPITAL NHS TRUST,H0023494,"1,134,821.00",SLA MAY 19
Department of Health,03K,31/05/2019,LPF Management Fees,PRIMARY CARE IT,KIER BUSINESS SERVICES LTD,10159914,"52,778.40",LPF MAY 19
Department of Health,03K,31/05/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,KIRTON LINDSEY SURGERY,KHU000034898,"-68,704.16",GMS MAY 19
Department of Health,03K,31/05/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,KIRTON LINDSEY SURGERY,KHU000034899,"211,450.17",GMS MAY 19
Department of Health,03K,31/05/2019,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410127037,"70,338.00",SLA APR 19
Department of Health,03K,31/05/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,2000019214,"497,926.00",LPFT 2018/19
Department of Health,03K,31/05/2019,Clinical&Medical-Independent Sector,NCAS/OATS,NEW MEDICAL SYSTEMS LTD,1105,"45,397.71",MEDICAL SERVICES APRIL 2019
