Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number, AP Amount (£) ,Description
Department of Health,03K,30/06/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BIRCHES MEDICAL PRACTICE,KHU000035263,"107,671.99",GMS June 2019
Department of Health,03K,30/06/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000035266,"-45,339.10",GMS June 2019
Department of Health,03K,30/06/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000035267,"173,050.57",GMS June 2019
Department of Health,03K,30/06/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CEDAR MEDICAL PRACTICE,KHU000035271,"106,558.20",GMS June 2019
Department of Health,03K,30/06/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR P A WEBSTER & PARTNERS,KHU000035274,"-68,876.66",GMS June 2019
Department of Health,03K,30/06/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR P A WEBSTER & PARTNERS,KHU000035275,"276,024.62",GMS June 2019
Department of Health,03K,30/06/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,OSWALD ROAD MEDICAL SURGERY,KHU000035279,"58,279.18",GMS June 2019
Department of Health,03K,30/06/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,TRENT VIEW MEDICAL PRACTICE,KHU000035282,"-50,632.59",GMS June 2019
Department of Health,03K,30/06/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,TRENT VIEW MEDICAL PRACTICE,KHU000035283,"286,322.01",GMS June 2019
Department of Health,03K,30/06/2019,LPF Management Fees,NCAS/OATS,NHS NORTH OF ENGLAND CSU,7310015627,"34,225.00",SLA JUN 19
Department of Health,03K,30/06/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WEST COMMON LANE TEACHING PRACTICE,KHU000035072,"143,250.33",PMS June 2019
Department of Health,03K,30/06/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WEST TOWN SURGERY,KHU000035074,"42,489.41",PMS June 2019
Department of Health,03K,30/06/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CORE CARE LINKS,KHU000035076,"52,033.68",APMS June 2019
Department of Health,03K,30/06/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ASHBY TURN PRIMARY CARE PARTNERS,KHU000035261,"182,555.08",GMS June 2019
Department of Health,03K,30/06/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CAMBRIDGE AVENUE MEDICAL CENTRE,KHU000035265,"197,893.33",GMS June 2019
Department of Health,03K,30/06/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHURCH LANE MEDICAL CENTRE,KHU000035269,"128,329.44",GMS June 2019
